"word","valence","valence_mean_sd","dominance","dominance_mean_sd","arousal","arousal_mean_sd","frequency"
"alcoholic","2.8399999142","2.3399999141693","5.6900000572","2.359999895095825","4.4499998093","2.5599999427795","3"
"bees","3.2000000477","2.0699999332428","6.5100002289","2.140000104904175","4.1599998474","2.1099998950958","15"
"bloody","2.9000000954","1.9800000190735","6.4099998474","2","3.9600000381","1.8899999856949","8"
"boxer","5.5100002289","1.7999999523163","5.1199998856","2.259999990463257","5.0999999046","1.6399999856949","1"
"burn","2.7300000191","1.7200000286102","6.2199997902","1.909999966621399","4.2199997902","1.8300000429153","15"
"cell","3.8199999332","1.7000000476837","4.0799999237","2.190000057220459","4.1199998856","2.1300001144409","65"
"dead","1.9400000572","1.7599999904633","5.7300000191","2.730000019073486","2.8399999142","2.3199999332428","174"
"dentist","4.0199999809","2.2300000190735","5.7300000191","2.130000114440918","3.7999999523","2.1600000858307","12"
"dirty","3.0799999237","2.0499999523163","4.8800001144","2.289999961853027","4.6999998093","2.1199998855591","36"
"drown","1.9199999571","1.4800000190735","6.5700001717","2.329999923706055","2.8599998951","1.9900000095367","3"
"fear","2.7599999905","2.1199998855591","6.9600000381","2.170000076293945","3.2200000286","2.2000000476837","127"
"gun","3.4700000286","2.4800000190735","7.0199999809","1.840000033378601","3.5299999714","2.7200000286102","118"
"hit","4.3299999237","2.3499999046326","5.7300000191","2.089999914169312","4.8800001144","2.0099999904633","115"
"injury","2.4900000095","1.7599999904633","5.6900000572","2.059999942779541","3.5699999332","1.6200000047684","27"
"knife","3.6199998856","2.1800000667572","5.8000001907","2","4.1199998856","2.1800000667572","76"
"lesbian","4.6700000763","2.4500000476837","5.1199998856","2.269999980926514","5.3499999046","2.2000000476837","0"
"lightning","4.5700001717","2.6600000858307","6.6100001335","1.769999980926514","3.6700000763","2.1900000572205","14"
"masturbate","5.4499998093","2.0199999809265","5.6700000763","2.180000066757202","5.6300001144","2.25","0"
"panic","3.1199998856","1.8400000333786","7.0199999809","2.019999980926514","3.2000000477","1.6699999570847","22"
"pus","2.8599998951","1.9099999666214","4.8200001717","2.059999942779541","4.3499999046","1.8200000524521","0"
"rifle","4.0199999809","2.7599999904633","6.3499999046","2.039999961853027","4.1599998474","2.710000038147","63"
"scared","2.7799999714","1.9900000095367","6.8200001717","2.029999971389771","2.9400000572","2.1900000572205","21"
"scream","3.8800001144","2.0699999332428","7.0399999619","1.960000038146973","4.75","2.210000038147","13"
"shark","3.6500000954","2.4700000286102","7.1599998474","1.960000038146973","2.6300001144","2.1600000858307","0"
"sick","1.8999999762","1.1399999856949","4.2899999619","2.450000047683716","3.0399999619","1.6499999761581","51"
"skull","4.2699999809","1.8300000429153","4.75","1.850000023841858","4.8600001335","1.6200000047684","3"
"snake","3.3099999428","2.2000000476837","6.8200001717","2.099999904632568","3.7799999714","2.0499999523163","44"
"spider","3.3299999237","1.7200000286102","5.7100000381","2.210000038146973","4.75","2.1099998950958","2"
"starving","2.3900001049","1.8200000524521","5.6100001335","2.529999971389771","3.6300001144","2.0999999046326","6"
"surgery","2.8599998951","2.1900000572205","6.3499999046","2.319999933242798","2.75","1.8600000143051","6"
"tank","5.1599998474","1.8700000047684","4.8800001144","1.860000014305115","4.7800002098","1.9299999475479","12"
"terrorist","1.6900000572","1.4199999570847","7.2699999809","2.380000114440918","2.6500000954","2.2999999523163","0"
"trash","2.6700000763","1.4500000476837","4.1599998474","2.160000085830688","5.2399997711","1.8500000238419","2"
"trauma","2.0999999046","1.4900000095367","6.3299999237","2.450000047683716","2.8399999142","1.8700000047684","1"
"urine","3.25","1.710000038147","4.1999998093","2.180000066757202","5.2399997711","1.8600000143051","1"
"victim","2.1800000668","1.4800000190735","6.0599999428","2.319999933242798","2.6900000572","2.039999961853","27"
"volcano","4.8400001526","2.1400001049042","6.3299999237","2.210000038146973","3.25","1.9700000286102","2"
"wounds","2.5099999905","1.5800000429153","5.8200001717","2.009999990463257","3.9200000763","1.5700000524521","8"
"abduction","2.7599999905","2.0599999427795","5.5300002098","2.430000066757202","3.4900000095","2.3800001144409","1"
"abortion","3.5","2.2999999523163","5.3899998665","2.799999952316284","4.5900001526","2.539999961853","6"
"absurd","4.2600002289","1.8200000524521","4.3600001335","2.200000047683716","4.7300000191","1.7200000286102","17"
